date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2024-12-31","222.97","223.23","218.94","219.39","219.39","24819700","24819700","-3.58","-1.61","221.1325","December 31, 24","-0.0161",
"2024-12-30","220.06","223","218.43","221.3","221.3","28321240","28321240","1.24","0.56348","220.6975","December 30, 24","0.0056348",
"2024-12-27","225.6","226.03","220.9","223.75","223.75","27367147","27367147","-1.85","-0.82004","224.07","December 27, 24","-0.0082004",
"2024-12-26","228.5","228.5","226.67","227.05","227.05","16174500","16174500","-1.45","-0.63457","227.68","December 26, 24","-0.0063457",
"2024-12-24","226.94","229.14","226.13","229.05","229.05","15007500","15007500","2.11","0.92976","227.815","December 24, 24","0.0092976",
"2024-12-23","225.01","226.88","223.9","225.06","225.06","28070007","28070007","0.05","0.02222123","225.2125","December 23, 24","0.0002222123",
"2024-12-20","219.84","226.21","218.73","224.92","224.92","88279200","88279200","5.08","2.31","222.425","December 20, 24","0.0231",
"2024-12-19","224.91","226.09","222.92","223.29","223.29","39918739","39918739","-1.62","-0.72029","224.3025","December 19, 24","-0.0072029",
"2024-12-18","230.77","231.4","220.11","220.52","220.52","43281443","43281443","-10.25","-4.44","225.7","December 18, 24","-0.0444",
"2024-12-17","232.39","232.73","227.85","231.15","231.15","35948131","35948131","-1.24","-0.53359","231.03","December 17, 24","-0.0053359",
"2024-12-16","230.23","233","228.01","232.93","232.93","37552100","37552100","2.7","1.17","231.0425","December 16, 24","0.0117",
"2024-12-13","228.4","230.2","225.86","227.46","227.46","28768100","28768100","-0.94","-0.41156","227.98","December 13, 24","-0.0041156",
"2024-12-12","229.83","231.09","227.63","228.97","228.97","28204100","28204100","-0.86","-0.37419","229.38","December 12, 24","-0.0037419",
"2024-12-11","226.41","231.2","226.26","230.26","230.26","35385800","35385800","3.85","1.7","228.5325","December 11, 24","0.017",
"2024-12-10","226.09","229.06","224.2","225.04","225.04","31199900","31199900","-1.05","-0.46442","226.0975","December 10, 24","-0.0046442",
"2024-12-09","227.21","230.08","225.67","226.09","226.09","46819400","46819400","-1.12","-0.49294","227.2625","December 09, 24","-0.0049294",
"2024-12-06","220.75","227.15","220.6","227.03","227.03","44178100","44178100","6.28","2.84","223.8825","December 06, 24","0.0284",
"2024-12-05","218.03","222.15","217.3","220.55","220.55","41140220","41140220","2.52","1.16","219.5075","December 05, 24","0.0116",
"2024-12-04","215.96","220","215.75","218.16","218.16","48745716","48745716","2.2","1.02","217.4675","December 04, 24","0.0102",
"2024-12-03","210.31","214.02","209.65","213.44","213.44","32214828","32214828","3.13","1.49","211.855","December 03, 24","0.0149",
"2024-12-02","209.96","212.99","209.51","210.71","210.71","39523200","39523200","0.75","0.35721","210.7925","December 02, 24","0.0035721",
"2024-11-29","205.83","208.2","204.59","207.89","207.89","24892447","24892447","2.06","1","206.6275","November 29, 24","0.01",
"2024-11-27","206.98","207.64","205.05","205.74","205.74","28061638","28061638","-1.24","-0.59909","206.3525","November 27, 24","-0.0059909",
"2024-11-26","201.9","208","201.79","207.86","207.86","41673737","41673737","5.96","2.95","204.8875","November 26, 24","0.0295",
"2024-11-25","199.28","201.95","199","201.45","201.45","40685700","40685700","2.17","1.09","200.42","November 25, 24","0.0109",
"2024-11-22","198.25","199.26","196.75","197.12","197.12","31530844","31530844","-1.13","-0.56999","197.845","November 22, 24","-0.0056999",
"2024-11-21","203.49","203.49","195.75","198.38","198.38","58800042","58800042","-5.11","-2.51","200.2775","November 21, 24","-0.0251",
"2024-11-20","202.98","203.13","199.45","202.88","202.88","32769000","32769000","-0.1","-0.04926594","202.11","November 20, 24","-0.0004926594",
"2024-11-19","199.33","205.3","198.78","204.61","204.61","31197900","31197900","5.28","2.65","202.005","November 19, 24","0.0265",
"2024-11-18","204.15","204.67","200.95","201.7","201.7","36512500","36512500","-2.45","-1.2","202.8675","November 18, 24","-0.012",
"2024-11-15","206.76","207.34","199.61","202.61","202.61","86591144","86591144","-4.15","-2.01","204.08","November 15, 24","-0.0201",
"2024-11-14","214.16","215.9","210.88","211.48","211.48","42620309","42620309","-2.68","-1.25","213.105","November 14, 24","-0.0125",
"2024-11-13","209.4","215.09","209.14","214.1","214.1","46212943","46212943","4.7","2.24","211.9325","November 13, 24","0.0224",
"2024-11-12","208.37","209.54","206.01","208.91","208.91","38942918","38942918","0.54","0.25915","208.2075","November 12, 24","0.0025915",
"2024-11-11","208.5","209.65","205.59","206.84","206.84","35456012","35456012","-1.66","-0.79616","207.645","November 11, 24","-0.0079616",
"2024-11-08","209.72","209.96","207.44","208.18","208.18","36075846","36075846","-1.54","-0.73431","208.825","November 08, 24","-0.0073431",
"2024-11-07","207.44","212.25","207.19","210.05","210.05","52878400","52878400","2.61","1.26","209.2325","November 07, 24","0.0126",
"2024-11-06","200.01","207.55","199.14","207.09","207.09","72292200","72292200","7.08","3.54","203.4475","November 06, 24","0.0354",
"2024-11-05","196.04","199.82","195.99","199.5","199.5","30564800","30564800","3.46","1.76","197.8375","November 05, 24","0.0176",
"2024-11-04","196.45","197.33","194.31","195.78","195.78","38492100","38492100","-0.67","-0.34105","195.9675","November 04, 24","-0.0034105",
"2024-11-01","199","200.5","197.02","197.93","197.93","99687847","99687847","-1.07","-0.53769","198.6125","November 01, 24","-0.0053769",
"2024-10-31","190.51","190.6","185.23","186.4","186.4","75146800","75146800","-4.11","-2.16","188.185","October 31, 24","-0.0216",
"2024-10-30","194.7","195.61","192.42","192.73","192.73","37707600","37707600","-1.97","-1.01","193.865","October 30, 24","-0.0101",
"2024-10-29","188.58","191.46","187.82","190.83","190.83","35690200","35690200","2.25","1.19","189.6725","October 29, 24","0.0119",
"2024-10-28","189.57","190.21","188.21","188.39","188.39","27930836","27930836","-1.18","-0.62246","189.095","October 28, 24","-0.0062246",
"2024-10-25","187.85","190.45","187.53","187.83","187.83","29362100","29362100","-0.02","-0.01064679","188.415","October 25, 24","-0.0001064679",
"2024-10-24","185.25","187.11","183.86","186.38","186.38","21647400","21647400","1.13","0.60999","185.65","October 24, 24","0.0060999",
"2024-10-23","188.85","189.16","183.69","184.71","184.71","31937100","31937100","-4.14","-2.19","186.6025","October 23, 24","-0.0219",
"2024-10-22","188.35","191.52","186.98","189.7","189.7","29650600","29650600","1.35","0.71675","189.1375","October 22, 24","0.0071675",
"2024-10-21","188.05","189.46","186.4","189.07","189.07","24639400","24639400","1.02","0.54241","188.245","October 21, 24","0.0054241",
"2024-10-18","187.15","190.74","186.28","188.99","188.99","37417700","37417700","1.84","0.98317","188.29","October 18, 24","0.0098317",
"2024-10-17","188.22","188.94","186","187.53","187.53","25039414","25039414","-0.69","-0.36659","187.6725","October 17, 24","-0.0036659",
"2024-10-16","187.05","187.78","185.61","186.89","186.89","23456812","23456812","-0.16","-0.08553863","186.8325","October 16, 24","-0.0008553863",
"2024-10-15","187.63","188.41","184.58","187.69","187.69","32178925","32178925","0.06","0.03197783","187.0775","October 15, 24","0.0003197783",
"2024-10-14","189.78","189.83","187.36","187.54","187.54","22614407","22614407","-2.24","-1.18","188.6275","October 14, 24","-0.0118",
"2024-10-11","186.63","189.93","186.3","188.82","188.82","25751600","25751600","2.19","1.17","187.92","October 11, 24","0.0117",
"2024-10-10","187.13","188.13","185.83","186.65","186.65","27785043","27785043","-0.48","-0.25651","186.935","October 10, 24","-0.0025651",
"2024-10-09","182.82","185.85","182.05","185.17","185.17","26343117","26343117","2.35","1.29","183.9725","October 09, 24","0.0129",
"2024-10-08","181.92","183.09","180.92","182.72","182.72","26372100","26372100","0.805","0.43975","182.1625","October 08, 24","0.0043975",
"2024-10-07","182.95","183.6","180.25","180.8","180.8","42364201","42364201","-2.15","-1.18","181.9","October 07, 24","-0.0118",
"2024-10-04","185.75","187.6","183.6","186.51","186.51","41079011","41079011","0.76","0.40915","185.865","October 04, 24","0.0040915",
"2024-10-03","183.05","183.44","180.88","181.96","181.96","30204302","30204302","-1.08","-0.59547","182.3325","October 03, 24","-0.0059547",
"2024-10-02","184.44","186.6","184.04","184.76","184.76","23704100","23704100","0.32","0.1735","184.96","October 02, 24","0.001735",
"2024-10-01","184.9","186.19","183.45","185.13","185.13","36044906","36044906","0.23","0.12439","184.9175","October 01, 24","0.0012439",
"2024-09-30","187.14","188.49","184.65","186.33","186.33","41680400","41680400","-0.81","-0.43283","186.6525","September 30, 24","-0.0043283",
"2024-09-27","190.68","190.9","187.34","187.97","187.97","36002316","36002316","-2.71","-1.42","189.2225","September 27, 24","-0.0142",
"2024-09-26","194.31","194.53","189.54","191.16","191.16","36334900","36334900","-3.15","-1.62","192.385","September 26, 24","-0.0162",
"2024-09-25","193.75","193.95","192.16","192.53","192.53","26391144","26391144","-1.22","-0.62968","193.0975","September 25, 24","-0.0062968",
"2024-09-24","194.27","195.37","190.13","193.96","193.96","43478926","43478926","-0.31","-0.15957","193.4325","September 24, 24","-0.0015957",
"2024-09-23","191.64","194.45","190.57","193.88","193.88","36993111","36993111","2.24","1.17","192.635","September 23, 24","0.0117",
"2024-09-20","190.23","191.84","187.41","191.6","191.6","100378600","100378600","1.37","0.72018","190.27","September 20, 24","0.0072018",
"2024-09-19","190.04","190.99","188.47","189.87","189.87","39543200","39543200","-0.17","-0.08945485","189.8425","September 19, 24","-0.0008945485",
"2024-09-18","186.45","188.8","185.06","186.43","186.43","34448130","34448130","-0.02","-0.01072674","186.685","September 18, 24","-0.0001072674",
"2024-09-17","186.85","189.45","186.14","186.88","186.88","26091700","26091700","0.03","0.01605566","187.33","September 17, 24","0.0001605566",
"2024-09-16","185.29","185.81","183.36","184.89","184.89","26065500","26065500","-0.4","-0.21588","184.8375","September 16, 24","-0.0021588",
"2024-09-13","187","188.5","185.91","186.49","186.49","26495400","26495400","-0.51","-0.27273","186.975","September 13, 24","-0.0027273",
"2024-09-12","184.8","187.41","183.54","187","187","33622500","33622500","2.2","1.19","185.6875","September 12, 24","0.0119",
"2024-09-11","180.1","184.99","175.73","184.52","184.52","42564700","42564700","4.43","2.45","181.335","September 11, 24","0.0245",
"2024-09-10","177.49","180.5","176.79","179.55","179.55","36233800","36233800","2.06","1.16","178.5825","September 10, 24","0.0116",
"2024-09-09","174.53","175.85","173.51","175.4","175.4","29037400","29037400","0.87","0.49848","174.8225","September 09, 24","0.0049848",
"2024-09-06","177.24","178.38","171.16","171.39","171.39","41466537","41466537","-5.85","-3.3","174.5425","September 06, 24","-0.033",
"2024-09-05","175","179.88","175","177.89","177.89","40170526","40170526","2.89","1.65","176.9425","September 05, 24","0.0165",
"2024-09-04","174.48","175.98","172.54","173.33","173.33","30309225","30309225","-1.15","-0.6591","174.0825","September 04, 24","-0.006591",
"2024-09-03","177.55","178.26","175.26","176.25","176.25","37817511","37817511","-1.3","-0.73219","176.83","September 03, 24","-0.0073219",
"2024-08-30","172.78","178.9","172.6","178.5","178.5","43429400","43429400","5.72","3.31","175.695","August 30, 24","0.0331",
