date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2024-12-31","192.45","193.25","189.58","190.44","190.22","14355221","14355221","-2","-1.04","191.43","December 31, 24","-0.0104",
"2024-12-30","190.87","193.78","190.36","192.69","192.47","12209534","12209534","1.82","0.95353","191.925","December 30, 24","0.0095353",
"2024-12-27","196.47","196.8","191.97","194.04","193.82","14693000","14693000","-2.43","-1.24","194.82","December 27, 24","-0.0124",
"2024-12-26","196.74","198.16","195.87","197.1","196.88","7918434","7918434","0.36","0.18298","196.9675","December 26, 24","0.0018298",
"2024-12-24","196.17","197.67","195.2","197.57","197.34","6809823","6809823","1.4","0.71367","196.6525","December 24, 24","0.0071367",
"2024-12-23","194.03","196.49","191.63","195.99","195.77","15235942","15235942","1.96","1.01","194.535","December 23, 24","0.0101",
"2024-12-20","187.01","194.14","186.37","192.96","192.74","45319703","45319703","5.95","3.18","190.12","December 20, 24","0.0318",
"2024-12-19","193.28","194.6","189.52","189.7","189.48","26981200","26981200","-3.58","-1.85","191.775","December 19, 24","-0.0185",
"2024-12-18","196.83","198.69","189.28","190.15","189.93","27638416","27638416","-6.68","-3.39","193.7375","December 18, 24","-0.0339",
"2024-12-17","198.53","202.88","196.69","197.12","196.9","24129500","24129500","-1.41","-0.71022","198.805","December 17, 24","-0.0071022",
"2024-12-16","194.37","200.64","194.11","198.16","197.93","32248640","32248640","3.79","1.95","196.82","December 16, 24","0.0195",
"2024-12-13","192.71","194.34","191.26","191.38","191.16","18883217","18883217","-1.33","-0.69016","192.4225","December 13, 24","-0.0069016",
"2024-12-12","196.3","196.71","193.28","193.63","193.41","25197800","25197800","-2.67","-1.36","194.98","December 12, 24","-0.0136",
"2024-12-11","186.7","196.89","186.26","196.71","196.49","41664500","41664500","10.01","5.36","191.64","December 11, 24","0.0536",
"2024-12-10","184.54","188.03","182.67","186.53","186.32","34317438","34317438","2","1.08","185.4425","December 10, 24","0.0108",
"2024-12-09","175.72","178.04","175.4","177.1","176.9","19887800","19887800","1.38","0.78534","176.565","December 09, 24","0.0078534",
"2024-12-06","173.88","176.84","173.55","176.49","176.09","13319549","13319549","2.61","1.5","175.19","December 06, 24","0.015",
"2024-12-05","177.32","177.71","174.01","174.31","173.91","16145520","16145520","-3.01","-1.7","175.8375","December 05, 24","-0.017",
"2024-12-04","172.78","176.43","172.75","176.09","175.69","18239842","18239842","3.31","1.92","174.5125","December 04, 24","0.0192",
"2024-12-03","173.12","174.32","172.51","173.02","172.63","15721500","15721500","-0.1","-0.0577634","173.2425","December 03, 24","-0.000577634",
"2024-12-02","170.32","173.6","170.27","172.98","172.59","16593444","16593444","2.66","1.56","171.7925","December 02, 24","0.0156",
"2024-11-29","170.06","170.87","168.75","170.49","170.1","9250712","9250712","0.43","0.25285","170.0425","November 29, 24","0.0025285",
"2024-11-27","170.68","171.14","169.67","170.82","170.43","12433400","12433400","0.14","0.08202484","170.5775","November 27, 24","0.0008202484",
"2024-11-26","169.49","171.5","169.43","170.62","170.23","14937500","14937500","1.13","0.66671","170.26","November 26, 24","0.0066671",
"2024-11-25","167.99","170.46","167.4","169.43","169.05","21395700","21395700","1.44","0.85719","168.82","November 25, 24","0.0085719",
"2024-11-22","167.16","168.26","165.71","166.57","166.19","24497042","24497042","-0.59","-0.35296","166.925","November 22, 24","-0.0035296",
"2024-11-21","175.46","175.58","165.31","169.24","168.86","38839431","38839431","-6.22","-3.54","171.3975","November 21, 24","-0.0354",
"2024-11-20","178.83","179.11","175.33","177.33","176.93","15729806","15729806","-1.5","-0.83879","177.65","November 20, 24","-0.0083879",
"2024-11-19","175.24","180.17","175.12","179.58","179.17","15392900","15392900","4.34","2.48","177.5275","November 19, 24","0.0248",
"2024-11-18","174.96","176.91","174.42","176.8","176.4","18725422","18725422","1.84","1.05","175.7725","November 18, 24","0.0105",
"2024-11-15","175.64","175.88","172.75","173.89","173.5","21708900","21708900","-1.75","-0.99636","174.54","November 15, 24","-0.0099636",
"2024-11-14","179.75","180.45","176.03","177.35","176.95","17925800","17925800","-2.4","-1.34","178.395","November 14, 24","-0.0134",
"2024-11-13","182.15","182.62","180.12","180.49","180.08","13969709","13969709","-1.66","-0.91134","181.345","November 13, 24","-0.0091134",
"2024-11-12","181.38","184.03","180.99","183.32","182.9","14065845","14065845","1.94","1.07","182.43","November 12, 24","0.0107",
"2024-11-11","180.07","182.09","179.99","181.97","181.56","12503422","12503422","1.9","1.06","181.03","November 11, 24","0.0106",
"2024-11-08","182","182.35","179.57","179.86","179.45","15021549","15021549","-2.14","-1.18","180.945","November 08, 24","-0.0118",
"2024-11-07","179.11","182.58","178.89","182.28","181.87","16730407","16730407","3.17","1.77","180.715","November 07, 24","0.0177",
"2024-11-06","175.35","178.64","175.04","178.33","177.93","27061510","27061510","2.98","1.7","176.84","November 06, 24","0.017",
"2024-11-05","170.83","172.1","170.37","171.41","171.02","12518300","12518300","0.58","0.33952","171.1775","November 05, 24","0.0033952",
"2024-11-04","171.24","171.92","169.49","170.68","170.29","16194000","16194000","-0.56","-0.32703","170.8325","November 04, 24","-0.0032703",
"2024-11-01","171.54","173.82","170.31","172.65","172.26","21752900","21752900","1.11","0.64708","172.08","November 01, 24","0.0064708",
"2024-10-31","174.72","178.42","172.56","172.69","172.3","32801900","32801900","-2.03","-1.16","174.5975","October 31, 24","-0.0116",
"2024-10-30","182.41","183.79","175.75","176.14","175.74","49698313","49698313","-6.27","-3.44","179.5225","October 30, 24","-0.0344",
"2024-10-29","169.39","171.86","168.66","171.14","170.75","28916106","28916106","1.75","1.03","170.2625","October 29, 24","0.0103",
"2024-10-28","170.59","170.61","165.79","168.34","167.96","20858300","20858300","-2.25","-1.32","168.8325","October 28, 24","-0.0132",
"2024-10-25","165.37","167.4","165.23","166.99","166.61","14566410","14566410","1.63","0.97962","166.2475","October 25, 24","0.0097962",
"2024-10-24","164.59","165.05","162.77","164.53","164.16","12764430","12764430","-0.06","-0.03645422","164.235","October 24, 24","-0.0003645422",
"2024-10-23","166.43","167.6","163.63","164.48","164.11","12754300","12754300","-1.95","-1.17","165.535","October 23, 24","-0.0117",
"2024-10-22","164.7","167.47","164.67","166.82","166.44","11958617","11958617","2.12","1.29","165.915","October 22, 24","0.0129",
"2024-10-21","164.58","166.22","164.31","165.8","165.42","11384047","11384047","1.22","0.74128","165.2275","October 21, 24","0.0074128",
"2024-10-18","164.87","166.37","164.75","165.05","164.68","13091300","13091300","0.18","0.10918","165.26","October 18, 24","0.0010918",
"2024-10-17","167.38","167.93","164.37","164.51","164.14","15113400","15113400","-2.87","-1.71","166.0475","October 17, 24","-0.0171",
"2024-10-16","166.03","167.28","165.22","166.74","166.36","9968500","9968500","0.71","0.42763","166.3175","October 16, 24","0.0042763",
"2024-10-15","167.14","169.09","166.05","166.9","166.52","14829338","14829338","-0.24","-0.14359","167.295","October 15, 24","-0.0014359",
"2024-10-14","164.91","167.62","164.78","166.35","165.97","9981800","9981800","1.44","0.8732","165.915","October 14, 24","0.008732",
"2024-10-11","163.33","165.27","162.5","164.52","164.15","10946000","10946000","1.19","0.72859","163.905","October 11, 24","0.0072859",
"2024-10-10","162.11","164.31","161.64","163.18","162.81","12900500","12900500","1.07","0.66005","162.81","October 10, 24","0.0066005",
"2024-10-09","164.86","166.26","161.12","163.06","162.69","19666411","19666411","-1.79","-1.09","163.825","October 09, 24","-0.0109",
"2024-10-08","165.43","166.1","164.31","165.7","165.32","11723900","11723900","0.27","0.16321","165.385","October 08, 24","0.0016321",
"2024-10-07","169.14","169.9","164.13","164.39","164.02","14034722","14034722","-4.75","-2.81","166.89","October 07, 24","-0.0281",
"2024-10-04","169.34","169.55","166.96","168.56","168.18","11435318","11435318","-0.78","-0.46061","168.6025","October 04, 24","-0.0046061",
"2024-10-03","165.82","167.91","165.37","167.21","166.83","11004333","11004333","1.39","0.83826","166.5775","October 03, 24","0.0083826",
"2024-10-02","167.76","168.88","166.25","167.31","166.93","12745000","12745000","-0.45","-0.26824","167.55","October 02, 24","-0.0026824",
"2024-10-01","168.86","170.44","165.9","168.42","168.04","18629506","18629506","-0.44","-0.26057","168.405","October 01, 24","-0.0026057",
"2024-09-30","164.78","167.36","164.64","167.19","166.81","14083451","14083451","2.41","1.46","165.9925","September 30, 24","0.0146",
"2024-09-27","163.91","166.97","163.83","165.29","164.91","13604300","13604300","1.38","0.84193","165","September 27, 24","0.0084193",
"2024-09-26","165.03","165.5","163.5","163.83","163.46","18234500","18234500","-1.2","-0.72714","164.465","September 26, 24","-0.0072714",
"2024-09-25","162.97","164.22","162.78","162.99","162.62","13607900","13607900","0.02","0.0122722","163.24","September 25, 24","0.000122722",
"2024-09-24","164.25","164.55","162.03","163.64","163.27","18774100","18774100","-0.61","-0.37139","163.6175","September 24, 24","-0.0037139",
"2024-09-23","165.34","166.61","162.95","163.07","162.7","15648446","15648446","-2.27","-1.37","164.4925","September 23, 24","-0.0137",
"2024-09-20","164.52","164.75","163.18","164.64","164.27","46362700","46362700","0.12","0.07293946","164.2725","September 20, 24","0.0007293946",
"2024-09-19","164.82","164.99","162.52","163.24","162.87","17548200","17548200","-1.58","-0.95862","163.8925","September 19, 24","-0.0095862",
"2024-09-18","160.85","161.63","159.66","160.81","160.44","16756500","16756500","-0.04","-0.02486789","160.7375","September 18, 24","-0.0002486789",
"2024-09-17","160.09","161.59","159.41","160.28","159.92","12064800","12064800","0.19","0.11868","160.3425","September 17, 24","0.0011868",
"2024-09-16","158.33","159.24","157.61","158.99","158.63","14157614","14157614","0.66","0.41685","158.5425","September 16, 24","0.0041685",
"2024-09-13","156.36","159.28","156.11","158.37","158.01","16733908","16733908","2.01","1.29","157.53","September 13, 24","0.0129",
"2024-09-12","154.81","155.61","153.5","155.54","155.19","21024100","21024100","0.73","0.47155","154.865","September 12, 24","0.0047155",
"2024-09-11","151.09","152.48","148.7","152.15","151.8","18991500","18991500","1.06","0.70157","151.105","September 11, 24","0.0070157",
"2024-09-10","151.45","152.3","149.54","150.01","149.67","20401800","20401800","-1.44","-0.95081","150.825","September 10, 24","-0.0095081",
"2024-09-09","153.63","154.64","148.2","149.54","149.2","28057746","28057746","-4.09","-2.66","151.5025","September 09, 24","-0.0266",
"2024-09-06","158.69","159.22","151.94","152.13","151.59","24999100","24999100","-6.56","-4.13","155.495","September 06, 24","-0.0413",
"2024-09-05","157.78","161.01","157.52","158.6","158.04","14139501","14139501","0.82","0.51971","158.7275","September 05, 24","0.0051971",
"2024-09-04","158.07","160.4","157.44","157.81","157.25","17410700","17410700","-0.265","-0.16448","158.43","September 04, 24","-0.0016448",
"2024-09-03","163.32","163.38","157.85","158.61","158.05","26533110","26533110","-4.7","-2.88","160.79","September 03, 24","-0.0288",
"2024-08-30","164.22","165.28","163.41","165.11","164.52","18498800","18498800","0.89","0.54196","164.505","August 30, 24","0.0054196",
"2024-08-29","166.06","167.63","161.98","163.4","162.82","17133830","17133830","-2.66","-1.6","164.7675","August 29, 24","-0.016",
"2024-08-28","166.78","167.39","163.28","164.5","163.92","15208736","15208736","-2.28","-1.37","165.4875","August 28, 24","-0.0137",
"2024-08-27","167.61","168.25","166.16","166.38","165.79","13718200","13718200","-1.23","-0.73385","167.1","August 27, 24","-0.0073385",
"2024-08-26","168.16","169.38","166.32","167.93","167.33","11990305","11990305","-0.225","-0.13677","167.9475","August 26, 24","-0.0013677",
"2024-08-23","166.55","167.95","165.66","167.43","166.84","14281621","14281621","0.88","0.52837","166.8975","August 23, 24","0.0052837",
"2024-08-22","169.04","169.42","165.03","165.49","164.9","19123800","19123800","-3.55","-2.1","167.245","August 22, 24","-0.021",
"2024-08-21","166.99","168.64","166.57","167.63","167.03","15269600","15269600","0.64","0.38326","167.4575","August 21, 24","0.0038326",
"2024-08-20","168.74","170.41","168.66","168.96","168.36","12622523","12622523","0.22","0.13038","169.1925","August 20, 24","0.0013038",
"2024-08-19","167","168.47","166.09","168.4","167.8","13100800","13100800","1.4","0.83832","167.49","August 19, 24","0.0083832",
"2024-08-16","163.41","166.95","163.08","164.74","164.16","16853137","16853137","1.33","0.8139","164.545","August 16, 24","0.008139",
"2024-08-15","162.21","163.52","161.49","163.17","162.59","18392500","18392500","0.96","0.59183","162.5975","August 15, 24","0.0059183",
"2024-08-14","164.21","164.96","159.53","162.03","161.45","22515900","22515900","-2.18","-1.33","162.6825","August 14, 24","-0.0133",
"2024-08-13","165.19","166.54","164.77","165.93","165.34","12717628","12717628","0.745","0.44797","165.6075","August 13, 24","0.0044797",
"2024-08-12","166","166.7","163.55","163.95","163.37","12435000","12435000","-2.05","-1.23","165.05","August 12, 24","-0.0123",
"2024-08-09","161.65","165.52","160.93","165.39","164.8","13549230","13549230","3.74","2.31","163.3725","August 09, 24","0.0231",
"2024-08-08","162.34","165.5","162.03","163.84","163.26","15733612","15733612","1.5","0.92399","163.4275","August 08, 24","0.0092399",
"2024-08-07","163.24","164.79","160.24","160.75","160.18","19334246","19334246","-2.49","-1.53","162.255","August 07, 24","-0.0153",
"2024-08-06","160.95","162.35","158.13","160.54","159.97","36146541","36146541","-0.405","-0.25474","160.4925","August 06, 24","-0.0025474",
"2024-08-05","157.37","165.94","156.6","160.64","160.07","34907815","34907815","3.27","2.08","160.1375","August 05, 24","0.0208",
"2024-08-02","168.19","170.21","166.39","168.4","167.8","18907800","18907800","0.21","0.12486","168.2975","August 02, 24","0.0012486",
"2024-08-01","171.98","175.68","170.51","172.45","171.84","17177833","17177833","0.47","0.27329","172.655","August 01, 24","0.0027329",
"2024-07-31","174.92","175.91","171.72","173.15","172.54","15650200","15650200","-1.77","-1.01","173.925","July 31, 24","-0.0101",
"2024-07-30","171.83","172.95","170.12","171.86","171.25","13681418","13681418","0.03","0.01745912","171.69","July 30, 24","0.0001745912",
"2024-07-29","170.5","172.16","169.72","171.13","170.52","13768931","13768931","0.63","0.3695","170.8775","July 29, 24","0.003695",
"2024-07-26","168.77","169.84","165.87","168.68","168.08","25150116","25150116","-0.09","-0.05332701","168.29","July 26, 24","-0.0005332701",
"2024-07-25","174.25","175.2","169.05","169.16","168.56","28967900","28967900","-5.09","-2.92","171.915","July 25, 24","-0.0292",
"2024-07-24","175.39","177.95","173.57","174.37","173.75","31250700","31250700","-1.02","-0.58156","175.32","July 24, 24","-0.0058156",
"2024-07-23","183.84","185.22","183.33","183.6","182.95","23772602","23772602","-0.24","-0.13055","183.9975","July 23, 24","-0.0013055",
"2024-07-22","182.35","184.3","181.9","183.35","182.7","16303900","16303900","1","0.5484","182.975","July 22, 24","0.005484",
"2024-07-19","180.37","181.97","178.86","179.39","178.75","14485900","14485900","-0.98","-0.54333","180.1475","July 19, 24","-0.0054333",
"2024-07-18","183.54","184.05","178.21","179.22","178.58","17877200","17877200","-4.32","-2.35","181.255","July 18, 24","-0.0235",
"2024-07-17","184.68","185.23","181.62","182.62","181.97","17376600","17376600","-2.06","-1.12","183.5375","July 17, 24","-0.0112",
"2024-07-16","188.96","190.34","185.12","185.5","184.84","12760102","12760102","-3.46","-1.83","187.48","July 16, 24","-0.0183",
"2024-07-15","186.49","189.9","186.49","188.19","187.52","12186015","12186015","1.7","0.91158","187.7675","July 15, 24","0.0091158",
"2024-07-12","186.92","188.69","186.14","186.78","186.12","14449113","14449113","-0.14","-0.07489835","187.1325","July 12, 24","-0.0007489835",
"2024-07-11","191.34","192.41","186.82","187.3","186.64","16452000","16452000","-4.04","-2.11","189.4675","July 11, 24","-0.0211",
"2024-07-10","190.75","193.31","190.62","192.66","191.98","12052906","12052906","1.91","1","191.835","July 10, 24","0.01",
"2024-07-09","191.75","192.86","190.23","190.44","189.76","10224925","10224925","-1.31","-0.68318","191.32","July 09, 24","-0.0068318",
"2024-07-08","191.37","191.68","189.32","190.48","189.8","12097611","12097611","-0.885","-0.46507","190.7125","July 08, 24","-0.0046507",
